p,rho,seed,protocol,unsafe_total,unsafe_allowed,safe_total,safe_blocked,containment_failure_rate,false_block_rate,benign_success_rate
0.01,0.75,5,single_source,27927,220,72073,539,0.00787768109714613,0.0074785287139428076,0.9925214712860572
0.01,0.75,5,redundant_fail_closed,27927,173,72073,686,0.006194721953664912,0.009518127454109028,0.9904818725458909
0.01,0.75,5,correlation_aware,27927,2,72073,943,7.161528270132846e-05,0.013083956544059494,0.9869160434559405
0.01,0.75,5,three_source_diverse,27927,174,72073,410,0.006230529595015576,0.005688676758286737,0.9943113232417132
0.01,0.75,6,single_source,28032,210,71968,523,0.007491438356164383,0.007267118719430858,0.9927328812805691
0.01,0.75,6,redundant_fail_closed,28032,150,71968,644,0.005351027397260274,0.008948421520675856,0.9910515784793241
0.01,0.75,6,correlation_aware,28032,5,71968,923,0.0001783675799086758,0.01282514450867052,0.9871748554913294
0.01,0.75,6,three_source_diverse,28032,153,71968,403,0.00545804794520548,0.005599710982658959,0.994400289017341
0.01,0.75,7,single_source,28233,230,71767,565,0.008146495236071263,0.00787269915142057,0.9921273008485795
0.01,0.75,7,redundant_fail_closed,28233,158,71767,709,0.005596288031735912,0.009879192386472892,0.990120807613527
0.01,0.75,7,correlation_aware,28233,1,71767,980,3.541954450465767e-05,0.01365530118299497,0.986344698817005
0.01,0.75,7,three_source_diverse,28233,158,71767,455,0.005596288031735912,0.006339961263533379,0.9936600387364666
0.01,0.75,8,single_source,27970,219,72030,561,0.007829817661780479,0.007788421491045398,0.9922115785089546
0.01,0.75,8,redundant_fail_closed,27970,177,72030,686,0.006328208795137648,0.009523809523809525,0.9904761904761905
0.01,0.75,8,correlation_aware,27970,4,72030,933,0.00014301036825169826,0.012952936276551436,0.9870470637234485
0.01,0.75,8,three_source_diverse,27970,178,72030,424,0.006363961387200572,0.005886436207135915,0.9941135637928641
0.01,0.75,9,single_source,27967,223,72033,549,0.007973683269567705,0.007621506809379034,0.992378493190621
0.01,0.75,9,redundant_fail_closed,27967,181,72033,692,0.006471913326420424,0.009606708036594339,0.9903932919634056
0.01,0.75,9,correlation_aware,27967,4,72033,960,0.0001430257088711696,0.013327225021864978,0.986672774978135
0.01,0.75,9,three_source_diverse,27967,181,72033,424,0.006471913326420424,0.005886191051323699,0.9941138089486763
0.01,0.75,10,single_source,27722,235,72278,539,0.008477021859894669,0.007457317579346413,0.9925426824206536
0.01,0.75,10,redundant_fail_closed,27722,172,72278,660,0.00620445855277397,0.009131409280832342,0.9908685907191677
0.01,0.75,10,correlation_aware,27722,3,72278,929,0.00010821730033908087,0.012853150336201886,0.9871468496637981
0.01,0.75,10,three_source_diverse,27722,173,72278,423,0.0062405309862203304,0.005852403220897091,0.9941475967791029
