p,rho,seed,empirical_error_correlation,source1_marginal_error,source2_marginal_error,source3_marginal_error
0.05,0.75,0,0.7513867941091869,0.05021,0.04984,0.05121
0.05,0.75,1,0.7527859139072708,0.05032,0.05015,0.05059
0.05,0.75,2,0.7497490217639019,0.04979,0.04966,0.04943
0.05,0.75,3,0.7398555734523244,0.04869,0.04882,0.05062
0.05,0.75,4,0.7479580711809865,0.04983,0.0494,0.04844
0.05,0.75,5,0.746275766722937,0.04906,0.04939,0.05084
0.05,0.75,6,0.7474287495308085,0.04879,0.04895,0.0504
0.05,0.75,7,0.7565468399046561,0.05048,0.05012,0.04914
0.05,0.75,8,0.7484938534670694,0.05071,0.0497,0.05047
0.05,0.75,9,0.7466801361825139,0.04979,0.05027,0.04886
0.05,0.75,10,0.749365998302042,0.04933,0.04934,0.0507
0.05,0.75,11,0.7474446110931169,0.04956,0.04968,0.05036
0.05,0.75,12,0.7503373175313712,0.0487,0.04882,0.04944
0.05,0.75,13,0.746104023621687,0.04996,0.05017,0.04994
0.05,0.75,14,0.7448742878500284,0.05034,0.05002,0.05108
0.05,0.75,15,0.7552099124438035,0.05012,0.04944,0.04966
0.05,0.75,16,0.7582227933478362,0.05058,0.04997,0.05081
0.05,0.75,17,0.75212719190844,0.05053,0.05069,0.05083
0.05,0.75,18,0.746958680707329,0.05121,0.0505,0.04955
0.05,0.75,19,0.7482964159131302,0.05069,0.05036,0.04929
0.05,0.75,20,0.7456109490617254,0.04952,0.04927,0.04982
0.05,0.75,21,0.7540516689582327,0.05085,0.0508,0.04986
0.05,0.75,22,0.7507545795750804,0.05012,0.04957,0.04952
0.05,0.75,23,0.7481757154860988,0.05065,0.05008,0.0497
0.05,0.75,24,0.7476555049293946,0.05019,0.05037,0.0494
0.05,0.75,25,0.7444639849475237,0.04918,0.0491,0.05006
0.05,0.75,26,0.7554695138356556,0.04984,0.05038,0.05069
0.05,0.75,27,0.7477835147884418,0.04989,0.05118,0.05132
0.05,0.75,28,0.7571100774622469,0.0504,0.05054,0.04974
0.05,0.75,29,0.7460953669848395,0.0498,0.05002,0.04887
0.05,1.0,0,0.9999999999999999,0.05001,0.05001,0.05121
0.05,1.0,1,0.9999999999999999,0.05106,0.05106,0.05059
0.05,1.0,2,1.0,0.04969,0.04969,0.04943
0.05,1.0,3,0.9999999999999999,0.04819,0.04819,0.05062
0.05,1.0,4,1.0,0.04994,0.04994,0.04844
0.05,1.0,5,0.9999999999999999,0.04853,0.04853,0.05084
0.05,1.0,6,1.0,0.04902,0.04902,0.0504
0.05,1.0,7,1.0,0.0503,0.0503,0.04914
0.05,1.0,8,0.9999999999999999,0.04944,0.04944,0.05047
0.05,1.0,9,0.9999999999999999,0.05002,0.05002,0.04886
0.05,1.0,10,1.0,0.04941,0.04941,0.0507
0.05,1.0,11,1.0,0.04983,0.04983,0.05036
0.05,1.0,12,1.0,0.04914,0.04914,0.04944
0.05,1.0,13,1.0,0.05026,0.05026,0.04994
0.05,1.0,14,1.0,0.04936,0.04936,0.05108
0.05,1.0,15,1.0,0.0505,0.0505,0.04966
0.05,1.0,16,1.0,0.04991,0.04991,0.05081
0.05,1.0,17,1.0,0.05049,0.05049,0.05083
0.05,1.0,18,1.0,0.05107,0.05107,0.04955
0.05,1.0,19,1.0,0.05074,0.05074,0.04929
0.05,1.0,20,1.0,0.04949,0.04949,0.04982
0.05,1.0,21,0.9999999999999999,0.05096,0.05096,0.04986
0.05,1.0,22,1.0,0.05007,0.05007,0.04952
0.05,1.0,23,1.0,0.04985,0.04985,0.0497
0.05,1.0,24,0.9999999999999999,0.05097,0.05097,0.0494
0.05,1.0,25,0.9999999999999999,0.04965,0.04965,0.05006
0.05,1.0,26,1.0,0.04957,0.04957,0.05069
0.05,1.0,27,0.9999999999999999,0.05039,0.05039,0.05132
0.05,1.0,28,1.0,0.05114,0.05114,0.04974
0.05,1.0,29,1.0,0.04988,0.04988,0.04887
