hidden_fraction,seed,protocol,threshold,fpr,tpr,known_tpr,hidden_tpr,known_attack_mean_pairwise_corr
0.0,2,max_pool,1.977096947975315,0.1,0.9226666666666666,0.9226666666666666,nan,-0.23207224540933188
0.0,2,weighted_max,1.66508400423397,0.1,0.9237,0.9237,nan,-0.23207224540933188
0.0,2,hybrid_evidence,1.5545411378168725,0.1,0.9511333333333334,0.9511333333333334,nan,-0.23207224540933188
0.0,2,adaptive_evidence,1.6920173844122588,0.1,0.9059,0.9059,nan,-0.23207224540933188
0.0,2,conservative_max,1.8782421005765493,0.1,0.9226666666666666,0.9226666666666666,nan,-0.23207224540933188
0.0,3,single_m1,1.3245485913656934,0.1,0.5865,0.5865,nan,-0.22992689865839258
0.0,3,algorithm_diverse,0.7863697632338225,0.1,0.9475,0.9475,nan,-0.22992689865839258
0.0,3,evidence_diverse,1.3694058984819084,0.1,0.7771333333333333,0.7771333333333333,nan,-0.22992689865839258
0.0,3,max_pool,1.9700215740607698,0.1,0.9255,0.9255,nan,-0.22992689865839258
0.0,3,weighted_max,1.6535425627923863,0.1,0.9270333333333334,0.9270333333333334,nan,-0.22992689865839258
0.0,3,hybrid_evidence,1.5473696226478515,0.1,0.9537666666666667,0.9537666666666667,nan,-0.22992689865839258
0.0,3,adaptive_evidence,1.6881591582176934,0.1,0.9061666666666667,0.9061666666666667,nan,-0.22992689865839258
0.0,3,conservative_max,1.8715204953577314,0.1,0.9255,0.9255,nan,-0.22992689865839258
0.0,4,single_m1,1.3026666836731977,0.1,0.5941,0.5941,nan,-0.22838875642709647
0.0,4,algorithm_diverse,0.7898840750292919,0.1,0.9452,0.9452,nan,-0.22838875642709647
0.0,4,evidence_diverse,1.3710971412172803,0.1,0.7759666666666667,0.7759666666666667,nan,-0.22838875642709647
0.0,4,max_pool,1.9755622207992378,0.1,0.9236,0.9236,nan,-0.22838875642709647
0.0,4,weighted_max,1.6635957052924484,0.1,0.9238333333333333,0.9238333333333333,nan,-0.22838875642709647
0.0,4,hybrid_evidence,1.5541988498040697,0.1,0.9507,0.9507,nan,-0.22838875642709647
0.0,4,adaptive_evidence,1.693389658261049,0.1,0.9051,0.9051,nan,-0.22838875642709647
0.0,4,conservative_max,1.876784109759276,0.1,0.9236,0.9236,nan,-0.22838875642709647
0.0,5,single_m1,1.3149341784221407,0.1,0.5868333333333333,0.5868333333333333,nan,-0.22754111860800916
0.0,5,algorithm_diverse,0.784814974550917,0.1,0.9456333333333333,0.9456333333333333,nan,-0.22754111860800916
0.0,5,evidence_diverse,1.369455342806617,0.1,0.7739333333333334,0.7739333333333334,nan,-0.22754111860800916
0.0,5,max_pool,1.9786087977032498,0.1,0.9209,0.9209,nan,-0.22754111860800916
0.0,5,weighted_max,1.6551715491574204,0.1,0.9238,0.9238,nan,-0.22754111860800916
0.0,5,hybrid_evidence,1.5588221224336154,0.1,0.9503666666666667,0.9503666666666667,nan,-0.22754111860800916
0.0,5,adaptive_evidence,1.6963605997793867,0.1,0.9021666666666667,0.9021666666666667,nan,-0.22754111860800916
0.0,5,conservative_max,1.8796783578180871,0.1,0.9209,0.9209,nan,-0.22754111860800916
0.0,6,single_m1,1.2924349100549235,0.1,0.6008333333333333,0.6008333333333333,nan,-0.2290640237915511
0.0,6,algorithm_diverse,0.7801179906099901,0.1,0.9449333333333333,0.9449333333333333,nan,-0.2290640237915511
0.0,6,evidence_diverse,1.3664725417746184,0.1,0.7781333333333333,0.7781333333333333,nan,-0.2290640237915511
0.0,6,max_pool,1.977187860783157,0.1,0.9208,0.9208,nan,-0.2290640237915511
